state[0],state[1],state[2],action[0],action[1]
-0.2,0.2,1.57,0.2712081,-0.9681792
-0.19999892,0.20135604,1.5568598,0.264245,-0.93602335
-0.199980507,0.202677137,1.544899505,0.2571269,-0.9114393
-0.199947217,0.20396234,1.533841356,0.24821177,-0.908616
-0.199901364,0.205202552,1.523228633,0.23914948,-0.9015213
-0.199844507,0.206396947,1.513151648,0.23076695,-0.88969094
-0.199778031,0.207548865,1.503660821,0.22163862,-0.87185913
-0.199703688,0.208654561,1.49487059,0.21207324,-0.85339975
-0.199623256,0.209711873,1.486768203,0.20229313,-0.8504188
-0.199538365,0.21071977,1.47908582,0.19479755,-0.8529655
-0.199449165,0.211689664,1.471649983,0.18691292,-0.8645533
-0.199356658,0.212619639,1.46434599,0.17927134,-0.8780109
-0.199261421,0.213510922,1.457146595,0.17208225,-0.89024353
-0.199163846,0.214365783,1.450061313,0.1654337,-0.9024556
-0.19906422,0.21518693,1.443077071,0.15913811,-0.9142628
-0.198962871,0.215976139,1.43619303,0.15317437,-0.92568237
-0.198860093,0.216735084,1.429408106,0.14752185,-0.9367324
-0.198756151,0.217465333,1.422721026,0.14222708,-0.9481929
-0.198651234,0.218168686,1.416116686,0.1372016,-0.9594146
-0.198545545,0.218846504,1.409592387,0.13392213,-0.9709511
-0.198438068,0.219507433,1.403065106,0.1323517,-0.98297983
-0.19832759,0.220159904,1.396444852,0.13078341,-0.9949435
-0.198214155,0.220803907,1.389730336,0.12921733,-1.0068394
-0.198097809,0.221439432,1.382920201,0.12765318,-1.0186678
-0.197978599,0.222066466,1.376012983,0.1260908,-1.0304248
-0.197856572,0.222684998,1.369007177,0.124530256,-1.042113
-0.197731778,0.223295016,1.361901108,0.12257257,-1.0534979
-0.197604683,0.223894555,1.354824377,0.120132506,-1.0651473
-0.197475963,0.224481263,1.347888524,0.1177983,-1.0781754
-0.197345757,0.225055683,1.341087436,0.11473784,-1.0948683
-0.197215131,0.225614302,1.334463044,0.111208856,-1.1027797
-0.197084939,0.22615489,1.328042397,0.10738468,-1.1092762
-0.196955876,0.226676071,1.32184254,0.10307491,-1.11389
0.2,-0.2,1.57,0.5324754,0.14472714
0.20000212,-0.197337624,1.572586875,0.5154058,0.12516269
0.199997506,-0.194760599,1.574748494,0.5053141,0.11207067
